Name	2018	PrecedingPeriod	YearAgofromPeriod
TheUnitedStates	68,168	67,571	67,571
Alabama	53,879	56,219	56,219
Alaska	74,161	86,196	86,196
Arizona	67,201	65,984	65,984
Arkansas	53,712	54,988	54,988
California	76,055	77,410	77,410
Colorado	78,801	82,877	82,877
Connecticut	78,561	82,125	82,125
Delaware	70,145	71,799	71,799
DistrictofColumbia	92,521	89,838	89,838
Florida	58,959	58,674	58,674
Georgia	60,229	64,089	64,089
Hawaii	86,433	81,346	81,346
Idaho	63,365	65,760	65,760
Illinois	75,684	72,913	72,913
Indiana	64,621	64,953	64,953
Iowa	74,144	70,148	70,148
Kansas	68,987	62,889	62,889
Kentucky	58,863	54,901	54,901
Louisiana	53,919	48,151	48,151
Maine	63,295	58,928	58,928
Maryland	93,031	90,734	90,734
Massachusetts	93,163	84,269	84,269
Michigan	65,222	62,342	62,342
Minnesota	77,488	77,341	77,341
Mississippi	46,159	47,837	47,837
Missouri	66,600	62,481	62,481
Montana	62,233	63,450	63,450
Nebraska	72,911	65,855	65,855
Nevada	66,749	64,151	64,151
NewHampshire	87,769	83,591	83,591
NewJersey	80,033	78,739	78,739
NewMexico	52,096	50,401	50,401
NewYork	72,586	68,021	68,021
NorthCarolina	57,583	54,762	54,762
NorthDakota	71,756	66,500	66,500
Ohio	66,500	67,076	67,076
Oklahoma	58,732	57,343	57,343
Oregon	74,626	69,077	69,077
Pennsylvania	69,619	67,736	67,736
RhodeIsland	67,183	72,285	72,285
SouthCarolina	61,980	60,278	60,278
SouthDakota	64,158	62,905	62,905
Tennessee	60,487	61,128	61,128
Texas	64,506	66,417	66,417
Utah	83,152	77,135	77,135
Vermont	75,599	70,385	70,385
Virginia	83,243	78,265	78,265
Washington	86,021	79,071	79,071
WestVirginia	54,566	51,900	51,900
Wisconsin	67,574	70,164	70,164
Wyoming	67,477	65,803	65,803
